JN99KQ JO90EA 51.56 32.228
JN99KQ JO90HD 54.02 33.762
JN99KQ JO90JD 51.31 32.072
JN99KQ JO90LC 46.72 29.198
JN99KQ JO90OG 69.11 43.192
JN99KR JO90EA 48.33 30.206
JN99KR JO90HD 49.67 31.043
JN99KR JO90LC 42.12 26.328
JN99LR JO90JD 47.84 29.903
JN99LR JO90LC 41.70 26.062
JN99LR JO90LJ 74.13 46.333
JN99LR JO90QN 97.31 60.817
JN99LR JO90XC 82.86 51.787
JN99LR KO00AB 86.00 53.749
JN99MQ JO90JD 54.02 33.762
JN99MQ JO90LC 46.72 29.198
JN99MQ JO90NH 69.75 43.597
JN99MQ JO90QN 100.16 62.600
JN99MQ JO90RL 92.92 58.074
JN99MQ JO90XC 80.36 50.227
JN99MQ KO00AB 82.91 51.820
JN99MQ KO00AC 85.31 53.319
JN99MQ KO00BA 86.06 53.787
JN99SN JO90EA 98.04 61.274
JN99SN JO90LC 73.34 45.837
JN99SN JO90RL 102.11 63.817
JN99SN JO90XC 67.24 42.025
JN99SN KO00AB 66.17 41.357
JN99SQ JO90OG 69.11 43.192
JN99SQ JO90XC 55.11 34.446
JN99SQ KN09BV 47.86 29.910
JN99SQ KO00AB 54.98 34.362
JN99SS KO00AB 48.31 30.192
JN99VM JO90XC 65.96 41.225
JN99VM KO00AB 62.85 39.281
JN99VM KO00AC 67.30 42.063
JN99VQ JN99VQ 0.00
JN99VQ JO90XC 47.85 29.904
JN99VQ KO00AC 49.67 31.046
JN99VQ KO00BA 44.10 27.564
JN99VS JO90JD 82.81 51.753
JN99VS JO90QN 92.90 58.063
JN99VS JO90XC 38.94 24.337
JN99VS KO00AC 41.16 25.725
JN99WR JO90LJ 98.88 61.800
JN99WR JO90XC 42.12 26.328
JN99WS JO90OG 73.21 45.758
JN99WS JO90RL 84.18 52.613
JN99WS JO90XC 37.54 23.465
JN99WS KO00AC 38.94 24.337
JN99XP JO90HF 115.38 72.115
JN99XP JO90JD 100.38 62.735
JN99XP JO90XB 46.33 28.958
JO90EA KN09BS 128.40 80.250
JO90LC KN09BS 91.36 57.097
JO90QN KN09CQ 114.00 71.251
JO90XB KN09AQ 42.13 26.328
JO90XC KN09AQ 46.72 29.198
JO90XC KN09AS 37.54 23.465
JO90XC KN09BR 43.37 27.109
JO90XC KN09CQ 49.67 31.046
JO90XC KN09DS 44.08 27.550
KN09AQ KO00AC 46.33 28.958
KN09AS KO00AC 37.07 23.167
KN09CQ KO00AB 43.38 27.110
KN09CR KO00AB 38.94 24.339
KN09DQ KO00AB 45.39 28.366
KN09DS KO00AB 37.05 23.153
KN09aq KO00ac 46.33 28.958
JO90xc KN09aq 46.72 29.198
JO90xb KN09aq 42.13 26.328
JN99xp JO90jd 100.38 62.735
JN99xp JO90xb 46.33 28.958
JN99ws KO00ac 38.94 24.337
JN99ws JO90xc 37.54 23.465
JN99ws JO90rl 84.18 52.613
JN99ws JO90og 73.21 45.758
JN99vs JO90qn 92.90 58.063
JN99vs JO90jd 82.81 51.753
JN99vs JO90xc 38.94 24.337
JN99vs KO00ac 41.16 25.725
JN99vs JO90xb 34.56 21.599
JN99vq KO00ac 49.67 31.046
JN99vq JO90xc 47.85 29.904
JN99vq KO00ba 44.10 27.564
JN99vq JO90xb 43.38 27.110
JN99vq JN99xx 34.57 21.604
JO90xc KN09as 37.54 23.465
KN09as KO00ac 37.07 23.167
KN09as KO00ho 101.55 63.467
KN09cr KO00ab 38.94 24.339
JO90xa KN09cr 37.05 23.158
JN99xx KN09cr 33.08 20.673
JO90xc KN09cq 49.67 31.046
JO90xa KN09cq 41.17 25.733
KN09cq KO00ab 43.38 27.110
JO90qn KN09cq 114.00 71.251
JO90rl KN09cq 103.02 64.389
JN99wr JO90xc 42.12 26.328
JN99wr JO90xa 32.98 20.612
JN99wr JO90xb 37.54 23.465
JN99wr JO90lj 98.88 61.800
JO90xc KN09br 43.37 27.109
JO90xb KN09br 38.94 24.339
JO90xa KN09br 34.56 21.602
JO90xb KN09dq 48.06 30.036
KN09dq KO00ab 45.39 28.366
KN09dq KO00aa 41.17 25.733
JO90wc KN09dq 55.11 34.446
JN99vm KO00ab 62.85 39.281
JN99vm KO00ac 67.30 42.063
JN99vm JO90xc 65.96 41.225
JN99ss JO90xb 44.07 27.542
JN99ss KO00ab 48.31 30.192
JN99sq JO90xc 55.11 34.446
JN99sq JO90og 69.11 43.192
JN99sq KN09bv 47.86 29.910
JN99sq KO00ab 54.98 34.362
JN99sq KN09bu 45.81 28.631
JN99lr JO90lc 41.70 26.062
JN99lr JO90qn 97.31 60.817
JN99lr JO90xc 82.86 51.787
JN99lr JN99tq 48.16 30.102
